,sample,tank,type,sq1 - B1,sq2 - B2,sq3 - B3,sq4 - B3,sq5 - B2,sq6 - B3,sq7 - B3,sq8 - B2,sq9 - B3,sq10 - B2,sq11 - B1,sq12 - B1,sq13 - B1,sq14 - B2,sq15 - A3,sq16 - B1,sq17 - B1,sq18 - B1,sq19-B3,sq20-B1,sq21-B2,sq22-B3,sq23-B1,sq24-A4,sq25-B1,sq26-A4a,sq27-A3,sq28-B2,sq29-B1,sq30-B2,sq31-B3,sq32-B3,sq33-B2,sq34-A2,sq35-B2,sq36-B3,sq37-B1,sq38-A3,sq39-A3,sq40-A4.3,sq41-A4.3,sq42-A4.3,sq43-B2,sq44-B1
1,A,FAV,adult,1792,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2,B,FAV,adult,3532,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
3,C,FAV,adult,1611,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
4,D,FAV,adult,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,E,FAV,adult,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,F,FAV,adult,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,G,DIP,adult,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,H,DIP,adult,867,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,89,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,I,DIP,adult,1718,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,248,212,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,J,DIP,adult,1357,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,75,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,K,DIP,adult,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,25,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0
12,L,DIP,adult,721,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,91,58,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,M,hostsed,rec,0,0,0,0,28,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,N,hostsed,rec,0,0,0,0,458,253,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,174,0,0,0,0,0,0,0,0,11,0,0,0,0
15,O,hostsed,rec,99,0,731,448,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
16,P,hostsed,rec,0,0,0,0,0,297,175,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Q,hostsed,rec,0,0,0,0,161,0,128,0,0,0,45,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
18,R,hostsed,rec,0,0,0,0,0,391,254,0,48,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,S,hostsed,rec,120,748,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,T,hostsed,rec,0,0,0,0,0,629,378,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,U,hostsed,rec,0,0,538,415,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,V,hostsed,rec,0,0,0,0,0,793,642,0,189,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,W,hostsed,rec,0,0,0,0,0,0,193,0,147,0,139,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0
24,X,hostsed,rec,0,0,1054,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
25,Y,hostsed,rec,0,0,0,0,843,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Z,hostsed,rec,17,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,128,0,0,0,0,0,0,0,0,0
27,Z1,hostsed,rec,0,0,833,659,0,0,0,0,159,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
28,Z11,hostsed,rec,0,0,338,191,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
29,Z12,hostsed,rec,0,133,245,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,103,0,79,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Z13,hostsed,rec,0,0,389,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,181,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
31,Z14,hostsed,rec,83,0,250,534,0,0,0,0,0,0,0,0,0,0,248,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
32,Z15,hostsed,rec,199,132,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Z16,hostsed,rec,130,478,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Z17,hostsed,rec,0,0,0,0,453,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
35,Z2,host,rec,33,71,1011,826,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Z3,sed,rec,15,2006,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
37,Z31,sed,rec,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Z32,sed,rec,0,0,0,0,774,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
39,Z33,sed,rec,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Z34,sed,rec,0,0,0,0,556,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
41,Z35,sed,rec,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,115,0,0,0,0,0,0